id,topic_id,title,order,en,vi,zh,fr,de,hi,ind,it,ko,ms,pt,ru,es,th,tl,ar,pl,hr,nl,el,hu,sv,cs,ro,bg,da,tr,fi,sl,fa,bn,uk,am,km,si,zu,sw,lo,no
67,7,瓶詰め食品,10,Bottled Foods,Thực Phẩm Đóng Chai,瓶装食品,Aliments En Bouteille,Abgefüllte Lebensmittel,बोतलबंद खाद्य पदार्थ,Makanan Botolan,Alimenti In Bottiglia,병에 넣어 진 음식,Makanan Dalam Botol,Alimentos Engarrafados,продукты в бутылках,Alimentos Embotellados,อาหารบรรจุขวด,Bote Na Pagkain,الأطعمة المعبأة في زجاجات,Żywność W Butelkach,Hrana U Bocama,Gebotteld Voedsel,εμφιαλωμένα τρόφιμα,Palackozott Élelmiszerek,Flaska Livsmedel,Balené Potraviny,Produse Alimentare Îmbuteliate,бутилирани храни,Flaskefødevarer,Şişelenmiş Gıdalar,Pullotetut Elintarvikkeet,Ustekleničena Živila,مواد غذایی بطری,বোতলজাত খাবার,харчові продукти в пляшках,የታሸጉ ምግቦች,អាហារដប,බෝතල් කළ ආහාර,Ukudla Okubhodlela,Vyakula Vya Chupa,ອາຫານຂວດ,Flaske Mat
68,7,乳製品,9,Dairy Produce,Sản Phẩm Từ Sữa,乳制品,Produits Laitiers,Milchprodukte,डेयरी उत्पादन,Produk Susu,Produzione Giornaliera,유제품,Hasil Tenusu,Produção Diária,молочные продукты,Producción Diaria,ผลิตภัณฑ์นม,Pagawaan Ng Gatas,منتجات الألبان,Produkty Mleczne,Mliječnih Proizvoda,Zuivelproducten,γαλακτοκομικά προϊόντα,Tejtermékek,Mejeriprodukter,Mléčné Výrobky,Produs Lactat,млечни продукти,Mejeriprodukter,Süt Ürünleri,Maitotuote,Mlečnih Izdelkov,محصولات لبنی,দুগ্ধ উত্পাদন,молочні продукти,የወተት ተዋጽኦ ምርቶች,ផលិតផលទឹកដោះគោ,කිරි නිෂ්පාදන,Umkhiqizo Wezobisi,Mazao Ya Maziwa,ຜະລິດຕະພັນນົມ,Melkeprodukter
69,7,パンと小麦粉,5,Breads And Flours,Bánh Mì Và Bột,面包和面粉,Pains Et Farines,Brote Und Mehle,ब्रेड और आटा,Roti Dan Tepung,Pane E Farina,빵과 밀가루,Roti Dan Tepung,Pães E Farinhas,хлеб и мука,Panes Y Harinas,ขนมปังและแป้ง,Tinapay At Flours,الخبز والدقيق,Chleby I Mąki,Kruh I Brašno,Brood En Meel,τα ψωμιά και τα αλεύρια,Kenyér És Liszt,Bröd Och Mjöl,Chleby A Mouky,Pâine Și Făină,хляб и брашна,Brød Og Mel,Ekmekler Ve Unlar,Leivät Ja Jauhot,Kruh In Moka,نان و آرد,রুটি এবং আটা,хліб і борошно,ዳቦና ፍራፍሬ,នំបុ័ងនិងម្សៅ,පාන් සහ පිටි,Izinkwa Kanye Nemifantu,Mikate Na Flours,breads and flours,Brød Og Mel
70,7,ケーキとデザート,4,Cakes And Desserts,Bánh Ngọt Và Món Tráng Miệng,蛋糕和甜点,Gâteaux Et Desserts,Kuchen Und Desserts,केक और मिठाई,Kue Dan Makanan Penutup,Torte E Dessert,케이크와 디저트,Kek Dan Pencuci Mulut,Bolos E Sobremesas,торты и десерты,Pasteles Y Postres,เค้กและขนมหวาน,Cake At Dessert,الكعك والحلويات,Ciasta I Desery,Kolači I Deserti,Cakes En Desserts,κέικ και επιδόρπια,Sütemények És Desszertek,Kakor Och Desserter,Dorty A Dezerty,Prăjituri Și Deserturi,торти и десерти,Kager Og Desserter,Kekler Ve Tatlılar,Kakkuja Ja Jälkiruokia,Pecivo In Sladice,کیک و دسر,কেক এবং মিষ্টি,торти та десерти,ኬኮች እና ጣፋጭ ምግቦች,នំនិងបង្អែម,කේක් හා අතුරුපස,Amaqebelengwane Nama-Dessert,Mikate Na Dessert,cake ແລະ desserts,Kaker Og Desserter
72,7,飲物,3,Drinks,Đồ Uống,饮料,Les Boissons,Getränke,पेय,Minuman,Bevande,음료수,Minuman,Bebidas,напитки,Las Bebidas,เครื่องดื่ม,Inumin,مشروبات,Napoje,Pića,Drankjes,αναψυκτικά,Italok,Drycker,Nápoje,Băuturi,напитки,Drikkevarer,Içecekler,Juomat,Pijače,نوشیدنی ها,পানীয়,напої,መጠጦች,ភេសជ្ជៈ,බීම,Iziphuzo,Vinywaji,ເຄື່ອງດື່ມ,Drikkevarer
73,8,カフェ,5,Café,Cafe,咖啡,Café,Cafe,कैफे,Kafe,Bar,카페,Kafe,Café,кафе,El Café,คาเฟ่,Cafe,كافيه,Kawiarnia,Kafić,Cafe,καφενείο,Kávézó,Kafé,Kavárna,Cafenea,кафене,Cafe,Kafe,Kahvila,Kavarna,کافه,ক্যাফের,кафе,ካፌ,ហាងកាហ្វេ,කැෆේ,Ikhefu,Kahawa,ຄາເຟ,Kafe
74,8,バー,6,Bar,Quán Bar,酒吧,Bar,Bar,बार,Bar,Bar,바,Bar,Barra,бар,Bar,บาร์,Bar,شريط,Bar,Bar,Bar,μπαρ,Bár,Bar,Bar,Bar,бар,Bar,Bar,Baari,Bar,بار,বার,бар,አሞሌ,របារ,බාර්එක,Ibha,Bar,ບາ,Bar
75,8,レストラン,1,Restaurant,Nhà Hàng,饭店,Restaurant,Restaurant,खाने की दुकान,Restoran,Ristorante,레스토랑,Restoran,Restaurante,ресторан,Restaurante,ร้านอาหาร,Restawran,مطعم,Restauracja,Restoran,Restaurant,εστιατόριο,Étterem,Restaurang,Restaurace,Restaurant,ресторант,Restaurant,Restoran,Ravintola,Restavracija,رستوران,রেস্টুরেন্ট,ресторан,ምግብ ቤት,ភោជនីយដ្ឋាន,අවන්හලක්,Yokudlela,Mgahawa,ຮ້ານອາຫານ,Restaurant
76,8,ファーストフード,2,Fast Food,Quán Ăn Nhanh,快餐,Fast Food,Fast Food,फास्ट फूड,Makanan Cepat Saji,Fast Food,패스트 푸드,Makanan Segera,Comida Rápida,быстрое питание,Comida Rápida,อาหารจานด่วน,Mabilis Na Pagkain,الوجبات السريعه,Fast Food,Brza Hrana,Fast Food,γρήγορο φαγητό,Gyors Kaja,Snabbmat,Fast Food,Fast Food,бързо хранене,Fastfood,Fast Food,Pikaruoka,Hitra Hrana,فست فود,ফাস্ট ফুড,фастфуд,ፈጣን ምግብ,អាហាររហ័ស,ක්ෂණික ආහාර,Ukudla Okusheshayo,Chakula Cha Haraka,ອາ​ຫານ​ຈານ​ດ່ວນ,Hurtigmat
77,8,朝食,3,Breakfast,Bữa Sáng,早餐,Petit Déjeuner,Frühstück,सुबह का नाश्ता,Sarapan,Prima Colazione,아침 식사,Sarapan Pagi,Café Da Manhã,завтрак,Desayuno,อาหารเช้า,Almusal,وجبة افطار,Śniadanie,Doručak,Ontbijt,ΠΡΩΙΝΟ ΓΕΥΜΑ,Reggeli,Frukost,Snídaně,Mic Dejun,закуска,Morgenmad,Kahvaltı,Aamiainen,Zajtrk,صبحانه,ব্রেকফাস্ট,сніданок,ቁርስ,អាហារពេលព្រឹក,උදෑසන ආහාරය,Kwasekuseni,Kifungua Kinywa,ອາຫານເຊົ້າ,Frokost
78,8,食事,4,Dinner,Bữa Tối,晚餐,Dîner,Abendessen,रात का खाना,Makan Malam,Cena,공식 만찬,Makan Malam,Jantar,обед,Cena,อาหารเย็น,Hapunan,وجبة عشاء,Obiad,Večera,Diner,δείπνο,Vacsora,Middag,Večeře,Masa De Seara,вечеря,Aftensmad,Akşam Yemegi,Päivällinen,Večerja,شام,ডিনার,вечеря,እራት,អាហារ​ពេលល្ងាច,රාත්රී ආහාරය,Dinner,Chajio,ອາຫານຄ່ໍາ,Middag
79,9,学校  school,1,School,Trường Học,学校,École,Schule,स्कूल,Sekolah,Scuola,학교,Sekolah,Escola,школа,Colegio,โรงเรียน,Paaralan,مدرسة,Szkoła,Škola,School-,σχολείο,Iskola,Skola,Škola,Şcoală,училище,Skole,Okul,Koulu,Šoli,مدرسه,স্কুল,школа,ትምህርት ቤት,សាលារៀន,පාසලේ,Isikole,Shule,ໂຮງຮຽນ,Skole
80,9,数学,3,Math,Môn Toán,数学,Math,Mathematik,गणित,Matematika,Matematica,수학,Matematik,Matemática,математический,La Matematica,คณิตศาสตร์,Matematika,الرياضيات,Matematyka,Matematika,Wiskunde,μαθηματικά,Matematikai,Matematik,Matematika,Matematica,математика,Matematik,Matematik,Matematiikka,Matematika,ریاضی,গণিত,математику,ሒሳብ,គណិតវិទ្យា,ගණිතය,Izibalo,Math,ຄະນິດສາດ,Matte
82,9,大学,2,College,Đại Học,大学,Université,Hochschule,कॉलेज,Perguruan Tinggi,Università,칼리지,Kolej,Faculdade,колледж,La Universidad,วิทยาลัย,Kolehiyo,كلية,Szkoła Wyższa,Koledž,College,Κολλέγιο,Főiskola,Högskola,Vysoká Škola,Colegiu,колеж,Kollegium,Kolej,College,Kolegij,دانشکده,কলেজ,коледж,ኮሌጅ,មហាវិទ្យាល័យ,විදුහල,Ekolishi,Chuo,ວິທະຍາໄລ,Høyskole
83,10,事務所,2,Office,Văn Phòng,办公室,Bureau,Büro,कार्यालय,Kantor,Ufficio,사무실,Pejabat,Escritório,офис,La Oficina,สำนักงาน,Opisina,مكتب. مقر. مركز,Gabinet,Ured,Kantoor,γραφείο,Hivatal,Kontor,Kancelář,Birou,офис,Kontor,Ofis,Toimisto,Uradu,دفتر,দপ্তর,офіс,ቢሮ,ការិយាល័យ,කාර්යාල,Ihhovisi,Ofisi,office,Kontor
84,10,コンピュータ,3,Computer,Máy Tính,电脑,Ordinateur,Computer,कंप्यूटर,Komputer,Computer,컴퓨터,Komputer,Computador,компьютер,La Computadora,คอมพิวเตอร์,Computer,الحاسوب,Komputer,Računalo,Computer,υπολογιστή,Számítógép,Dator,Počítač,Calculator,компютър,Computer,Bilgisayar,Tietokone,Računalnik,کامپیوتر,কম্পিউটার,комп'ютера,ኮምፒተር,កុំព្យូទ័រ,පරිගණක,Ikhompyutha,Kompyuta,ຄອມພິວເຕີ,Datamaskin
87,10,農場,4,Farm,Nông Trại,农场,Ferme,Bauernhof,खेत,Tanah Pertanian,Azienda Agricola,농장,Ladang,Fazenda,ферма,La Granja,ฟาร์ม,Sakahan,مزرعة,Gospodarstwo Rolne,Farma,Farm,αγρόκτημα,Tanya,Bruka,Hospodařit,Fermă,ферма,Gård,Çiftlik,Maatila,Kmetije,مزرعه,খামার,ферми,እርሻ,កសិដ្ឋាន,ගොවිපල,Epulazini,Shamba,ກະສິກໍາ,Gård
88,10,建設,5,Construction,Xây Dựng,建设,Construction,Konstruktion,निर्माण,Konstruksi,Costruzione,구성,Pembinaan,Construção,строительство,Construcción,การก่อสร้าง,Konstruksiyon,اعمال بناء,Budowa,Izgradnja,Bouw,κατασκευή,Építés,Konstruktion,Konstrukce,Constructie,строителство,Konstruktion,Inşaat,Rakentaminen,Gradnja,ساخت و ساز,নির্মাণ,будівництво,ግንባታ,សំណង់,ඉදිකිරීම,Ukwakhiwa,Ujenzi,ການກໍ່ສ້າງ,Konstruksjon
89,10,職業,1,Occupations,Nghề Nghiệp,职业,Métiers,Berufe,व्यवसायों,Pekerjaan,Occupazioni,직업,Pekerjaan,Ocupações,профессий,Ocupaciones,การประกอบอาชีพ,Trabaho,المهن,Zawody,Zanimanja,Beroepen,επαγγέλματα,Foglalkozások,Yrken,Povolání,Ocupații,професии,Erhverv,Meslekler,Ammatit,Poklicih,مشاغل,পেশা,занять,ስራዎች,មុខរបរ,වාඩිලාගනු ඇත,Imisebenzi,Kazi,ອາຊີບ,Yrker
90,11,道路,1,Roads,Đường,道路,Routes,Straßen,सड़कें,Jalan,Strade,도로,Jalan Raya,Estradas,дороги,Las Carreteras,ถนน,Mga Kalsada,الطرق,Drogi,Ceste,Wegen,δρόμους,Utak,Vägar,Silnic,Drumuri,пътища,Veje,Yollar,Tiet,Cestah,جاده ها,সড়ক,дороги,መንገዶች,ផ្លូវ,මාර්ග,Imigwaqo,Barabara,ຖະຫນົນຫົນທາງ,Veier
91,11,バス,3,Bus,Xe Bus,公共汽车,Autobus,Bus,बस,Bis,Autobus,버스,Bas,Ônibus,автобус,El Autobús,รถบัส,Bus,حافلة,Autobus,Autobus,Bus,λεωφορείο,Busz,Buss,Autobus,Autobuz,автобус,Bus,Otobüs,Bussi,Avtobus,اتوبوس,বাস,автобус,አውቶቡስ,ឡានក្រុង,බස්,Ibhasi,Basi,ລົດເມ,Buss
92,11,自動車,2,Car,Xe Ô Tô,汽车,Voiture,Auto,गाड़ी,Mobil,Auto,차,Kereta,Carro,автомобиль,Coche,รถ,Kotse,سيارة,Samochód,Automobil,Auto,αυτοκίνητο,Autó,Bil,Auto,Mașină,кола,Bil,Araba,Auto,Avto,ماشین,গাড়ী,автомобіль,መኪና,រថយន្ត,මෝටර් රථ,Imoto,Gari,ລົດໃຫຍ່,Bil
93,11,オートバイ,5,Motorcycle,Xe Máy,摩托车,Moto,Motorrad,मोटरसाइकिल,Sepeda Motor,Motociclo,오토바이,Motosikal,Motocicleta,мотоцикл,Motocicleta,รถจักรยานยนต์,Motorsiklo,دراجة نارية,Motocykl,Motorcikl,Motorfiets,μοτοσυκλέτα,Motorbicikli,Motorcykel,Motocykl,Motocicletă,мотоциклет,Motorcykel,Motosiklet,Moottoripyörä,Motorno Kolo,موتورسیکلت,মোটরসাইকেল,мотоцикл,ሞተርሳይክል,ម៉ូតូ,යතුරු පැදිය,Isithuthuthu,Pikipiki,ລົດຈັກ,Motorsykkel
94,11,自転車,4,Bicycle,Xe Đạp,自行车,Vélo,Fahrrad,साइकिल,Sepeda,Bicicletta,자전거,Basikal,Bicicleta,велосипед,Bicicleta,รถจักรยาน,Bisikleta,دراجة,Rower,Bicikl,Fiets,ποδήλατο,Kerékpár,Cykel,Jízdní Kolo,Bicicletă,велосипед,Cykel,Bisiklet,Polkupyörä,Kolesa,دوچرخه,সাইকেল,велосипед,ብስክሌት,កង់,බයිසිකලයක්,Ibhayisikili,Baiskeli,ລົດ​ຖີບ,Sykkel
95,11,列車,6,Train,Tàu,火车,Train,Zug,रेल गाडी,Melatih,Treno,기차,Kereta Api,Trem,поезд,Entrenar,รถไฟ,Tren,قطار,Pociąg,Vlak,Trein,τρένο,Vonat,Tåg,Vlak,Tren,влак,Tog,Tren,Kouluttaa,Vlak,قطار - تعلیم دادن,রেলগাড়ি,поїзд,ባቡር,រថភ្លើង,දුම්රිය,Isitimela,Treni,ຝຶກອົບຮົມ,Tog
96,11,航空機,7,Aircraft,Máy Bay,飞机,Avion,Flugzeug,हवाई जहाज,Pesawat Terbang,Aereo,항공기,Kapal Terbang,Aeronave,самолет,El Avión,อากาศยาน,Aircraft,الطائرات,Samolot,Zrakoplov,Vliegtuig,αεροσκάφος,Repülőgép,Flygplan,Letadlo,Avioane,самолет,Fly,Uçak,Ilma-Alus,Zrakoplovom,هواپیما,বিমান,літаків,አውሮፕላን,យន្តហោះ,ගුවන් යානා,Izindiza,Ndege,ເຄື່ອງບິນ,Luftfartøy
97,11,空港,8,Airport,Sân Bay,机场,Aéroport,Flughafen,हवाई अड्डा,Bandara,Aeroporto,공항,Lapangan Terbang,Aeroporto,аэропорт,Aeropuerto,สนามบิน,Paliparan,مطار,Lotnisko,Zračna Luka,Luchthaven,το αεροδρομιο,Repülőtér,Flygplats,Letiště,Aeroport,летище,Lufthavn,Havalimanı,Lentokenttä,Letališče,فرودگاه,বিমানবন্দর,аеропорт,አየር ማረፊያ,ព្រ​លាន​យន្តហោះ,ගුවන් තොටුපොළ,Sezindiza,Uwanja Wa Ndege,ສະ​ຫນາມ​ບິນ,Flyplassen
98,11,船,9,Ship,Thuyền,船,Navire,Schiff,समुंद्री जहाज,Kapal,Nave,배,Kapal,Navio,корабль,El Barco,เรือ,Barko,سفينة,Statek,Brod,Schip,πλοίο,Hajó,Fartyg,Loď,Navă,кораб,Skib,Gemi,Laiva,Ladje,کشتی,জাহাজ,корабель,መርከብ,នាវា,නැව,Umkhumbi,Meli,ເຮືອ,Skip
101,12,ラグビー,5,Rugby,Bóng Bầu Dục,英式橄榄球,Le Rugby,Rugby,रग्बी,Ragbi,Rugby,럭비,Ragbi,Rúgbi,регби,El Rugby,รักบี้,Rugby,كرة القدم الامريكية,Rugby,Ragbi,Rugby,ράγκμπι,Rögbi,Rugby,Ragby,Rugbi,ръгби,Rugby,Ragbi,Rugby,Rugby,راگبی,রাগবিখেলা,регбі,ራግቢ,កីឡាបាល់ឱប,රග්බි,I-Rugby,Rugby,rugby,Rugby
102,12,サッカー,4,Soccer,Bóng Đá,足球,Football,Fußball,फुटबॉल,Sepak Bola,Calcio,축구,Bola Sepak,Futebol,футбольный,El Fútbol,ฟุตบอล,Soccer,كرة القدم,Piłka Nożna,Nogomet,Voetbal,ποδόσφαιρο,Futball,Fotboll,Fotbal,Fotbal,футбол,Fodbold,Futbol,Jalkapallo,Nogomet,فوتبال,ফুটবল খেলা,футбол,እግር ኳስ,បាល់ទាត់,පාපන්දු,Ibhola,Soka,soccer,Fotball
103,12,ホッケー,9,Hockey,Khúc Côn Cầu,曲棍球,Le Hockey,Eishockey,हॉकी,Hoki,Hockey,하키,Hoki,Hóquei,хоккей,El Hockey,ฮอกกี้,Hockey,الهوكي,Hokej,Hokej,Hockey,χακί,Jégkorong,Hockey,Hokej,Hochei,хокей,Hockey,Hokey,Jääkiekko,Hokej,هاکی,হকিখেলা,хокей,ሆኪ,វាយកូនគោល,හොකී,I-Hockey,Hockey,hockey,Hockey
104,12,クリケット,10,Cricket,Môn Crickê,板球,Criquet,Kricket,क्रिकेट,Jangkrik,Cricket,크리켓,Kriket,Grilo,крикет,El Criquet,จิ้งหรีด,Kuliglig,كريكيت,Krykiet,Kriket,Krekel,κρίκετ,Krikett,Cricket,Kriket,Crichet,крикет,Cricket,Kriket,Kriketti,Kriket,کریکت,ক্রিকেট,крикет,ክሪኬት,កីឡា cricket,ක්රිකට්,Ikhilikithi,Kriketi,cricket,Siriss
105,12,バスケットボール,3,Basketball,Bóng Rổ,篮球,Basketball,Basketball,बास्केटबाल,Bola Basket,Pallacanestro,농구,Bola Keranjang,Basquetebol,баскетбол,El Baloncesto,บาสเกตบอล,Basketball,كرة سلة,Koszykówka,Košarka,Basketbal,μπάσκετ,Kosárlabda,Basketboll,Basketball,Baschet,баскетбол,Basketball,Basketbol,Koripallo,Košarka,بسکتبال,বাস্কেটবল,баскетбол,ቅርጫት ኳስ,បាល់បោះ,පැසිපන්දු,Basketball,Mpira Wa Kikapu,ບ້ວງ,Basketball
106,12,野球,2,Baseball,Bóng Chày,棒球,Base-Ball,Baseball,बेसबॉल,Baseball,Baseball,야구,Besbol,Beisebol,бейсбол,El Béisbol,กีฬาเบสบอล,Baseball,البيسبول,Baseball,Bejzbol,Basketbal,μπέιζμπολ,Baseball,Baseboll,Baseball,Baseball,бейзбол,Baseball,Beyzbol,Baseball,Baseball,بیسبال,বেসবল,бейсбол,ቤዝቦል,កីឡាបាល់បោះ,බේස්බෝල්,Baseball,Baseball,baseball,Baseball
107,12,テニス,1,Tennis,Quần Vợt,网球,Tennis,Tennis,टेनिस,Tenis,Tennis,테니스,Tenis,Tênis,большой теннис,Tenis,เทนนิส,Tennis,تنس,Tenis Ziemny,Tenis,Tennis,τένις,Tenisz,Tennis,Tenis,Tenis,тенис,Tennis,Tenis,Tennis,Tenis,تنیس,টেনিস,теніс,ቴኒስ,កីឡាវាយកូនបាល់,ටෙනිස්,I-Tennis,Tennis,tennis,Tennis
108,12,ゴルフ,6,Golf,Golf,高尔夫球,Le Golf,Golf,गोल्फ़,Golf,Golf,골프,Golf,Golfe,гольф,Golf,กอล์ฟ,Golf,جولف,Golf,Golf,Golf,γκολφ,Golf,Golf,Golf,Golf,голф,Golf,Golf,Golf,Golf,گلف,গলফ,гольф,ጎልፍ,កីឡាវាយកូនគោល,ගොල්ෆ්,Igalofu,Golf,golf,Golf
109,12,陸上競技,11,Track And Field,Sân Chạy Đua,田径,Athlétisme,Leichtathletik,ट्रैक और फील्ड,Trek Dan Lapangan,Atletica Leggera,육상 경기,Trek Dan Padang,Pista E Campo,легкая атлетика,Pista Y Campo,ติดตามและ,Track At Field,تتبع وتمحص,Lekkoatletyka,Staza I Teren,Track En Field,κομμάτι και πεδίο,Atlétika,Friidrott,Trati A Pole,Calea Și Câmpul,писта и поле,Spor Og Felt,Atletizm,Yleisurheilu,In Steza,پیگیری و زمینه,ট্র্যাক এবং ক্ষেত্র,легка атлетика,ዱካ እና መስክ,បទនិងវាល,ධාවන තරඟයයි,Ithrekhi Nomkhakha,Kufuatilia Na Shamba,ຕິດຕາມແລະສະຫນາມ,Friidrett
110,12,格闘技,7,Combat Sports,Võ Thuật,武术,Sports De Combat,Kampfsportarten,मुक़ाबले का खेल,Olahraga Tempur,Sport Di Combattimento,전투 스포츠,Pertempuran Sukan,Esportes De Combate,Единоборства,Deportes De Combate,กีฬาการต่อสู้,Combat Sports,الرياضة القتالية,Sporty Walki,Borbeni Sportovi,Vechtsporten,Αθλήματα πάλης,Küzdősportok,Kampsporter,Bojové Sporty,Sporturi De Lupta,Бойни спортове,Bekæmpe Sport,Dövüş Sporları,Taistele Urheilua,Borilni Športi,ورزش های رزمی,যুদ্ধ ক্রীড়া,Бойові види спорту,የጨዋታ ስፖርቶች,ប្រយុទ្ធកីឡា,සටන් ක්රීඩා,Imidlalo Yokulwa,Kupambana Na Michezo,ການຕໍ່ສູ້ກິລາ,Kampsport
111,12,水泳,8,Swimming,Bơi,游泳,Nager,Schwimmen,तैराकी,Renang,Nuoto,수영,Berenang,Natação,плавание,Nadando,ว่ายน้ำ,Swimming,سباحة,Pływanie,Plivanje,Zwemmen,κολύμπι,Úszás,Simning,Plavání,Înot,плуване,Svømning,Yüzme,Uima-,Plavanje,شنا کردن,সাঁতার,плавання,መዋኛ,ហែលទឹក,පිහිනීම,Ukubhukuda,Kuogelea,ລອຍນ້ໍາ,Svømme~~POS=TRUNC
112,12,セーリング,12,Sailing,Thuyền Buồm,帆船,Voile,Segeln,नौकायन,Pelayaran,Andare In Barca,항해,Belayar,Vela,парусный спорт,La Navegación A Vela,การเดินเรือ,Paglalayag,إبحار,Żeglarstwo,Jedrenje,Het Zeilen,ιστιοπλοΐα,Vitorlázás,Segling,Plachtění,Navigație,ветроходство,Sejlads,Yelkencilik,Purjehdus,Jadranje,کشتیرانی,পালতোলা,вітрильний спорт,የባህር ጉዞ,sailing,යාත්රා කිරීමයි,Ukuhamba Ngomkhumbi,Safari,sailing,Seiling
113,12,乗馬,13,Horseback Riding,Cưỡi Ngựa,骑马,Monter À Cheval,Reiten,घुड़सवारी,Menunggang Kuda,Equitazione,승마,Menunggang Kuda,Cavalgando,верховая езда,Montar A Caballo,การขี่ม้า,Pangangabayo,ركوب الخيل,Jazda Konna,Jahanje Konja,Paardrijden,ιππασία,Lovaglás,Ridning,Jízda Na Koni,Călărie,конна езда,Ridning,Ata Binme,Ratsastus,Jahanje Konja,اسب سواری,অশ্বারোহণ,верхова їзда,ፈረስ ግልቢያ,ជិះសេះ,අශ්ව කාරියක්,Ukugibela Emhlane We Hhashi,Farasi Wanaoendesha,ຂີ່​ມ້າ,Hesteridning
114,12,釣り,14,Fishing,Câu Cá,钓鱼,Pêche,Angeln,मछली पकड़ना,Penangkapan Ikan,Pesca,어업,Memancing,Pescaria,ловля рыбы,Pescar,ประมง,Pangingisda,صيد السمك,Wędkarstwo,Ribarstvo,Visvangst,αλιεία,Halászat,Fiske,Rybolov,Pescuit,риболов,Fiskeri,Balık Tutma,Kalastus,Ribolov,صید ماهی,মাছ ধরা,риболовля,አሳ ማጥመድ,នេសាទ,මාඵ ඇල්ලීම,Ukudoba,Uvuvi,ການຫາປາ,Fiske
115,12,スキー,15,Skiing,Trượt Tuyết,滑雪,Ski,Skifahren,स्कीइंग,Bermain Ski,Sciare,스키 타기,Ski,Esquiar,кататься на лыжах,Esquí,การเล่นสกี,Skiing,التزحلق,Jazda Na Nartach,Skijanje,Skiën,χιονοδρόμια,Síelés,Skidåkning,Lyžování,Schi,каране на ски,Stå På Ski,Kayak Yapma,Hiihto,Smučanje,اسکی,স্কিইং,катання на лижах,ስኪንግ,ជិះស្គី,සැහැල්ලුයි,Ukushushuluza,Skiing,skiing,Stå På Ski
116,12,他のスポーツ,17,Other Sports,Môn Thể Thao Khác,其他运动,Autres Sports,Andere Sportarten,अन्य खेलों,Olahraga Lainnya,Altri Sport,다른 스포츠,Sukan Lain,Outros Esportes,другие виды спорта,Otros Deportes,กีฬาอื่น ๆ,Ibang Palakasan,رياضات اخرى,Inne Sporty,Druge Sportove,Andere Sporten,άλλα αθλήματα,Más Sportok,Andra Sporter,Ostatní Sporty,Alte Sporturi,други спортове,Andre Sportsgrene,Diğer Sporlar,Muita Urheilulajeja,Drugih Športov,ورزش های دیگر,অন্যান্য খেলাধুলা,інші види спорту,ሌሎች ስፖርቶች,កីឡាផ្សេងទៀត,වෙනත් ක්රීඩා,Ezinye Zezemidlalo,Michezo Mingine,ກິລາອື່ນໆ,Andre Idretter
117,12,フィットネス,16,Fitness,Thể Dục,健身,Aptitude,Fitness,फिटनेस,Kebugaran,Fitness,적합,Kecergasan,Ginástica,фитнес,La Forrma Fisica,การออกกำลังกาย,Fitness,اللياقه البدنيه,Zdatność,Sposobnost,Geschiktheid,καταλληλότητα,Alkalmasság,Kondition,Zdatnost,Fitness,фитнес,Fitness,Fitness,Kunto,Fitnes,تناسب اندام,জুত,фітнес,አካል ብቃት,ភាពរឹងមាំ,යෝග්යතාවය,Ukufaneleka,Fitness,ຟິດເນດ,Fitness
118,13,劇場,8,Theater,Rạp Hát,剧场,Théâtre,Theater,थिएटर,Teater,Teatro,극장,Teater,Teatro,театр,Teatro,โรงละคร,Teatro,مسرح,Teatr,Kazalište,Theater,θέατρο,Színház,Teater,Divadlo,Teatru,театър,Teater,Tiyatro,Teatteri,Gledališče,تئاتر,থিয়েটার,театр,ቲያትር,ល្ខោន,රංග ශාලාව,Indawo Yaseshashalazini,Sinema,ໂຮງລະຄອນ,Teater
119,13,オーケストラ,9,Orchestra,Dàn Nhạc,管弦乐队,Orchestre,Orchester,ऑर्केस्ट्रा,Orkestra,Orchestra,오케스트라,Orkestra,Orquestra,оркестр,Orquesta,วงออเคสตรา,Orkestra,أوركسترا,Orkiestra,Orkestar,Orkest,ορχήστρα,Zenekar,Orkester,Orchestr,Orchestră,оркестър,Orkester,Orkestra,Orkesteri,Orkester,ارکستر,অর্কেস্ট্রা,оркестр,ኦርኬስትራ,វង់តន្រ្តី,වාද්ය වෘන්දය,I-Orchestra,Orchestra,orchestra,Orkester
120,13,コンサート,10,Concert,Buổi Hòa Nhạc,演奏会,Concert,Konzert,संगीत कार्यक्रम,Konser,Concerto,음악회,Konsert,Show,концерт,Concierto,คอนเสิร์ต,Konsyerto,حفلة موسيقية,Koncert,Koncert,Concert,συναυλία,Koncert,Konsert,Koncert,Concert,концерт,Koncert,Konser,Konsertti,Koncert,کنسرت,সঙ্গীতানুষ্ঠান,концерт,ኮንሰርት,ការប្រគុំតន្ត្រី,ප්රසංගය,Ikhonsathi,Tamasha,concert,Konsert
